1,0,6,57,0,0,0,0
2,3,6,33,2,1,1,1
3,2,2,61,2,0,1,1
4,0,1,46,0,0,0,0
5,1,5,120,0,0,0,0
6,2,5,95,0,0,1,2
7,3,3,108,1,1,0,2
8,1,2,26,2,0,0,1
9,0,6,64,0,0,0,0
10,2,3,71,2,0,0,0
11,1,4,71,1,1,1,1
12,2,6,51,0,1,0,0
13,3,2,56,0,0,0,2
14,2,3,93,2,0,1,1
15,0,2,28,0,0,0,0
16,3,3,110,0,1,0,1
17,3,4,102,1,0,1,1
18,3,6,47,0,0,0,1
19,0,6,57,0,0,0,0
20,3,5,41,0,0,0,0
21,0,4,34,0,0,0,0
22,2,5,69,1,1,1,1
23,2,4,17,0,0,1,2
24,0,3,21,0,0,0,0
25,2,6,101,0,0,0,0
26,2,2,94,1,1,1,2
27,1,6,57,1,1,0,2
28,0,5,45,0,0,0,0
29,1,6,61,0,0,1,2
30,3,2,108,2,1,0,0
31,2,4,95,1,0,1,0
32,3,2,90,0,0,0,1
33,2,1,64,1,1,0,2
34,1,2,43,1,0,0,0
35,1,1,98,1,1,1,0
36,0,3,64,0,0,0,0
37,0,5,56,0,0,0,0
38,0,5,51,0,0,0,0
39,1,4,109,0,1,1,2
40,3,4,116,2,0,0,1
41,3,6,64,0,0,0,0
42,1,3,84,2,0,1,1
43,3,1,31,0,1,1,0
44,2,6,108,1,1,1,0
45,1,3,37,2,0,1,2
46,3,4,32,0,0,0,0
47,1,1,31,1,0,1,0
48,1,6,113,0,0,0,0
49,2,3,66,0,0,0,0
50,0,2,46,0,0,0,0
51,3,3,24,1,0,1,2
52,1,3,122,0,0,0,0
53,2,1,94,2,0,1,2
54,0,6,62,0,0,0,0
55,2,5,114,2,1,1,1
56,0,2,62,0,0,0,0
57,2,4,98,1,1,1,2
58,1,6,70,0,1,1,2
59,0,4,57,0,0,0,0
60,2,5,120,0,1,1,2
61,1,2,85,1,0,1,2
62,0,2,40,0,0,0,0
63,3,1,45,2,1,0,0
64,0,4,64,0,0,0,0
65,1,3,120,1,0,1,0
66,1,2,113,0,0,1,2
67,2,4,111,0,1,0,0
68,2,3,38,0,0,1,1
69,3,3,94,0,0,0,0
70,1,5,35,1,0,1,1
71,1,1,113,1,1,1,1
72,1,2,99,0,0,0,0
73,2,3,122,0,0,0,0
74,2,5,21,0,0,0,1
75,1,2,108,0,0,0,0
76,3,6,53,2,1,1,0
77,3,1,26,2,0,0,1
78,0,5,20,0,0,0,0
79,3,5,69,2,1,1,2
80,1,3,111,0,0,0,0
81,1,5,62,1,0,0,1
82,0,4,23,0,0,0,0
83,2,2,61,2,0,0,1
84,2,5,49,1,0,1,1
85,3,5,17,2,0,1,2
86,0,2,55,0,0,0,0
87,0,4,64,0,0,0,0
88,2,5,117,1,1,1,0
89,2,6,61,0,1,1,2
90,3,2,77,0,0,1,0
91,2,6,37,1,1,0,2
92,0,4,56,0,0,0,0
93,1,2,47,0,0,1,1
94,1,5,23,2,1,1,1
95,2,5,28,1,1,1,1
96,2,6,25,2,1,0,2
97,1,6,125,1,1,1,0
98,2,2,119,2,0,0,2
99,1,5,118,1,0,0,0
100,1,3,128,1,1,1,1
101,2,6,31,2,0,1,1
102,1,6,37,2,1,0,0
103,0,3,39,0,0,0,0
104,1,2,91,0,0,0,0
105,1,4,83,1,0,1,1
106,2,4,119,0,0,0,0
107,2,2,37,2,1,1,0
108,3,3,114,2,1,1,1
109,2,6,20,0,0,0,2
110,2,1,26,2,0,1,1
111,2,4,128,0,0,1,1
112,0,3,22,0,0,0,0
113,2,6,126,0,0,0,0
114,1,2,103,1,1,1,2
115,1,6,59,1,0,0,0
116,1,2,73,2,1,0,0
